loop_ms,infer_ms
8.541,7.328
8.162,7.221
28.315,27.314
8.699,7.458
10.359,9.362
9.426,8.494
8.141,7.260
9.467,8.234
8.732,7.492
9.830,8.305
8.706,7.763
9.144,8.165
30.444,29.590
9.048,8.031
9.798,8.900
9.971,8.848
11.076,10.104
9.562,8.600
9.325,8.109
9.902,8.637
12.398,11.513
9.794,8.736
29.000,28.063
9.081,7.964
10.543,9.360
10.174,9.093
9.136,8.230
9.355,8.451
9.526,8.385
9.915,8.618
9.055,8.141
9.048,8.161
29.247,28.321
8.974,7.942
10.350,9.420
8.496,7.567
9.517,8.423
9.103,8.199
9.303,8.121
8.859,7.870
10.450,9.044
9.442,8.226
29.926,29.078
9.906,8.853
9.570,8.212
10.071,9.159
11.209,10.301
9.198,8.278
10.905,9.714
9.165,7.855
11.737,10.859
9.714,8.401
32.014,31.152
9.343,8.026
9.012,8.116
9.476,8.547
8.883,7.974
11.632,9.015
13.021,12.007
11.462,9.928
10.125,8.736
9.776,8.568
33.005,31.990
9.227,8.130
9.148,8.271
12.634,11.576
9.019,7.954
9.802,8.516
9.278,8.225
12.397,11.426
9.652,8.643
9.750,8.805
28.172,27.187
9.034,7.793
9.879,8.979
10.012,8.786
11.657,10.523
10.167,9.108
9.604,8.404
10.632,8.952
10.581,9.680
9.587,8.501
40.135,39.208
16.804,15.913
19.973,19.042
16.646,15.666
17.424,16.384
16.785,15.836
17.275,16.358
18.721,17.770
17.052,16.089
17.410,16.416
26.418,25.509
6.634,5.611
7.419,6.112
7.348,6.317
7.145,6.072
7.175,6.240
7.621,6.699
6.857,5.780
7.057,6.130
6.736,5.827
24.777,23.831
6.995,5.854
7.967,6.414
7.646,6.684
7.629,6.680
7.601,6.615
7.690,6.356
7.831,6.769
7.385,6.061
7.575,6.047
25.402,24.469
6.685,5.482
7.609,6.656
7.040,6.009
9.766,8.085
9.019,7.391
6.519,5.365
8.393,7.137
7.112,5.766
7.214,6.244
24.602,23.568
7.290,6.239
7.362,5.714
7.956,5.974
7.337,6.122
7.501,6.359
6.659,5.713
7.236,6.069
8.464,7.105
7.217,6.170
25.545,24.615
6.582,5.621
6.935,5.830
6.726,5.666
7.889,6.862
7.042,6.017
7.118,6.197
7.645,6.672
6.581,5.631
7.372,6.074
24.660,23.682
6.326,5.353
7.532,5.606
6.602,5.428
7.484,6.521
6.562,5.606
6.660,5.774
7.143,6.225
7.004,6.078
7.052,6.077
25.419,24.531
6.705,5.594
6.988,5.839
6.321,5.423
6.548,5.607
7.360,6.376
6.816,5.788
7.526,6.647
7.262,6.262
7.120,6.174
24.700,23.791
6.871,5.912
7.264,6.310
6.848,5.870
7.710,6.522
7.546,6.253
7.207,6.205
6.985,5.835
7.086,6.218
7.115,6.180
25.146,24.216
6.879,5.623
7.044,5.642
7.314,6.324
7.111,6.142
8.234,7.146
6.967,5.647
7.539,6.258
7.105,6.041
6.990,6.052
25.522,24.557
6.609,5.489
8.435,6.245
7.299,6.082
8.318,6.288
7.785,6.873
6.889,5.976
6.567,5.668
7.048,5.896
7.088,6.141
24.416,23.406
7.624,6.472
6.596,5.616
7.231,6.212
7.582,6.386
6.684,5.736
6.673,5.497
6.897,5.808
6.889,5.702
6.882,5.782
24.353,23.430
7.725,5.730
7.651,6.699
7.943,6.812
9.323,7.364
8.304,6.916
7.037,6.096
7.163,6.244
7.205,6.343
9.104,8.161
30.638,29.570
9.711,8.054
9.597,8.521
9.270,8.254
9.112,7.989
8.572,7.642
8.790,7.867
8.704,7.809
8.994,7.891
9.810,8.518
28.917,27.765
8.296,7.224
8.909,7.455
10.210,8.594
8.792,7.515
9.182,8.209
8.658,7.436
9.183,8.058
8.812,7.694
9.374,8.117
28.148,27.131
8.810,7.597
9.291,8.303
8.836,7.654
8.640,7.711
9.128,8.153
8.294,7.233
9.344,8.189
8.530,7.375
9.516,8.042
27.964,27.001
8.343,7.115
11.761,10.068
9.622,8.277
9.752,8.676
12.606,10.780
14.683,13.087
14.068,12.270
10.507,9.049
13.101,11.429
32.486,31.401
8.995,7.968
10.990,8.649
10.247,8.283
12.284,10.751
10.415,8.740
9.664,8.659
9.298,7.995
10.968,9.726
9.093,7.795
29.446,28.086
9.264,7.832
9.194,8.203
10.590,8.982
8.685,7.685
10.656,9.205
9.199,8.147
9.408,8.444
8.906,7.898
8.903,7.896
28.349,27.455
8.574,7.356
9.194,8.236
9.116,8.151
10.031,9.059
9.993,9.047
8.713,7.838
9.539,8.536
9.309,8.239
10.147,8.835
29.014,28.107
9.282,8.165
10.826,9.504
8.737,7.624
11.083,10.115
9.162,8.167
10.955,9.368
8.926,7.907
11.525,9.729
9.335,8.103
29.484,28.567
9.037,8.044
9.718,8.485
9.457,8.386
10.091,8.770
9.716,8.410
9.345,8.100
9.109,8.007
10.211,9.023
9.675,8.459
28.989,28.069
10.330,8.632
10.067,8.387
13.387,12.064
9.648,8.111
13.786,12.043
10.277,8.557
14.194,12.203
10.214,9.121
9.125,8.117
28.804,27.886
9.757,8.223
9.599,8.179
9.753,8.684
11.838,10.419
9.736,8.779
10.792,9.700
9.760,8.454
11.031,9.739
9.259,8.181
30.360,29.073
9.341,7.798
